Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;05194 Riocabado;1 persona;26
Total Nacional;05194 Riocabado;2 personas;24
Total Nacional;05194 Riocabado;3 personas;7
Total Nacional;05194 Riocabado;4 personas;6
Total Nacional;05194 Riocabado;5 o más personas;2
Total Nacional;05195 Riofrío;Total (tamaño del hogar);109
Total Nacional;05195 Riofrío;1 persona;57
Total Nacional;05195 Riofrío;2 personas;31
Total Nacional;05195 Riofrío;3 personas;13
Total Nacional;05195 Riofrío;4 personas;4
Total Nacional;05195 Riofrío;5 o más personas;4
Total Nacional;05196 Rivilla de Barajas;Total (tamaño del hogar);30
Total Nacional;05196 Rivilla de Barajas;1 persona;13
Total Nacional;05196 Rivilla de Barajas;2 personas;9
Total Nacional;05196 Rivilla de Barajas;3 personas;2
Total Nacional;05196 Rivilla de Barajas;4 personas;4
Total Nacional;05196 Rivilla de Barajas;5 o más personas;2
Total Nacional;05197 Salobral;Total (tamaño del hogar);50
Total Nacional;05197 Salobral;1 persona;16
Total Nacional;05197 Salobral;2 personas;16
Total Nacional;05197 Salobral;3 personas;7
Total Nacional;05197 Salobral;4 personas;8
Total Nacional;05197 Salobral;5 o más personas;3
Total Nacional;05198 Salvadiós;Total (tamaño del hogar);32
Total Nacional;05198 Salvadiós;1 persona;11
Total Nacional;05198 Salvadiós;2 personas;12
Total Nacional;05198 Salvadiós;3 personas;4
Total Nacional;05198 Salvadiós;4 personas;4
Total Nacional;05198 Salvadiós;5 o más personas;1
Total Nacional;05199 San Bartolomé de Béjar;Total (tamaño del hogar);25
Total Nacional;05199 San Bartolomé de Béjar;1 persona;15
Total Nacional;05199 San Bartolomé de Béjar;2 personas;7
Total Nacional;05199 San Bartolomé de Béjar;3 personas;0
Total Nacional;05199 San Bartolomé de Béjar;4 personas;2
Total Nacional;05199 San Bartolomé de Béjar;5 o más personas;1
Total Nacional;05200 San Bartolomé de Corneja;Total (tamaño del hogar);19
Total Nacional;05200 San Bartolomé de Corneja;1 persona;9
Total Nacional;05200 San Bartolomé de Corneja;2 personas;5
Total Nacional;05200 San Bartolomé de Corneja;3 personas;3
Total Nacional;05200 San Bartolomé de Corneja;4 personas;1
Total Nacional;05200 San Bartolomé de Corneja;5 o más personas;1
Total Nacional;05201 San Bartolomé de Pinares;Total (tamaño del hogar);277
Total Nacional;05201 San Bartolomé de Pinares;1 persona;129
Total Nacional;05201 San Bartolomé de Pinares;2 personas;84
Total Nacional;05201 San Bartolomé de Pinares;3 personas;38
Total Nacional;05201 San Bartolomé de Pinares;4 personas;21
Total Nacional;05201 San Bartolomé de Pinares;5 o más personas;5
Total Nacional;05204 Sanchidrián;Total (tamaño del hogar);312
Total Nacional;05204 Sanchidrián;1 persona;86
Total Nacional;05204 Sanchidrián;2 personas;109
Total Nacional;05204 Sanchidrián;3 personas;63
Total Nacional;05204 Sanchidrián;4 personas;39
Total Nacional;05204 Sanchidrián;5 o más personas;15
Total Nacional;05205 Sanchorreja;Total (tamaño del hogar);44
Total Nacional;05205 Sanchorreja;1 persona;20
Total Nacional;05205 Sanchorreja;2 personas;13
Total Nacional;05205 Sanchorreja;3 personas;7
Total Nacional;05205 Sanchorreja;4 personas;2
Total Nacional;05205 Sanchorreja;5 o más personas;2
Total Nacional;05206 San Esteban de los Patos;Total (tamaño del hogar);16
Total Nacional;05206 San Esteban de los Patos;1 persona;12
Total Nacional;05206 San Esteban de los Patos;2 personas;3
Total Nacional;05206 San Esteban de los Patos;3 personas;0
Total Nacional;05206 San Esteban de los Patos;4 personas;0
Total Nacional;05206 San Esteban de los Patos;5 o más personas;1
Total Nacional;05207 San Esteban del Valle;Total (tamaño del hogar);353
Total Nacional;05207 San Esteban del Valle;1 persona;151
Total Nacional;05207 San Esteban del Valle;2 personas;90
Total Nacional;05207 San Esteban del Valle;3 personas;59
Total Nacional;05207 San Esteban del Valle;4 personas;41
Total Nacional;05207 San Esteban del Valle;5 o más personas;12
Total Nacional;05208 San Esteban de Zapardiel;Total (tamaño del hogar);21
Total Nacional;05208 San Esteban de Zapardiel;1 persona;8
Total Nacional;05208 San Esteban de Zapardiel;2 personas;4
Total Nacional;05208 San Esteban de Zapardiel;3 personas;7
Total Nacional;05208 San Esteban de Zapardiel;4 personas;2
Total Nacional;05208 San Esteban de Zapardiel;5 o más personas;0
Total Nacional;05209 San García de Ingelmos;Total (tamaño del hogar);37
Total Nacional;05209 San García de Ingelmos;1 persona;18
Total Nacional;05209 San García de Ingelmos;2 personas;9
Total Nacional;05209 San García de Ingelmos;3 personas;7
Total Nacional;05209 San García de Ingelmos;4 personas;2
Total Nacional;05209 San García de Ingelmos;5 o más personas;1
Total Nacional;05210 San Juan de la Encinilla;Total (tamaño del hogar);39
Total Nacional;05210 San Juan de la Encinilla;1 persona;17
Total Nacional;05210 San Juan de la Encinilla;2 personas;15
Total Nacional;05210 San Juan de la Encinilla;3 personas;4
Total Nacional;05210 San Juan de la Encinilla;4 personas;1
Total Nacional;05210 San Juan de la Encinilla;5 o más personas;2
Total Nacional;05211 San Juan de la Nava;Total (tamaño del hogar);208
Total Nacional;05211 San Juan de la Nava;1 persona;86
Total Nacional;05211 San Juan de la Nava;2 personas;47
Total Nacional;05211 San Juan de la Nava;3 personas;29
Total Nacional;05211 San Juan de la Nava;4 personas;31
Total Nacional;05211 San Juan de la Nava;5 o más personas;15
Total Nacional;05212 San Juan del Molinillo;Total (tamaño del hogar);120
Total Nacional;05212 San Juan del Molinillo;1 persona;68
Total Nacional;05212 San Juan del Molinillo;2 personas;27
Total Nacional;05212 San Juan del Molinillo;3 personas;15
Total Nacional;05212 San Juan del Molinillo;4 personas;8
Total Nacional;05212 San Juan del Molinillo;5 o más personas;2
Total Nacional;05213 San Juan del Olmo;Total (tamaño del hogar);48
Total Nacional;05213 San Juan del Olmo;1 persona;28
Total Nacional;05213 San Juan del Olmo;2 personas;9
Total Nacional;05213 San Juan del Olmo;3 personas;6
Total Nacional;05213 San Juan del Olmo;4 personas;4
Total Nacional;05213 San Juan del Olmo;5 o más personas;1
Total Nacional;05214 San Lorenzo de Tormes;Total (tamaño del hogar);23
Total Nacional;05214 San Lorenzo de Tormes;1 persona;16
Total Nacional;05214 San Lorenzo de Tormes;2 personas;4
Total Nacional;05214 San Lorenzo de Tormes;3 personas;3
Total Nacional;05214 San Lorenzo de Tormes;4 personas;0
Total Nacional;05214 San Lorenzo de Tormes;5 o más personas;0
Total Nacional;05215 San Martín de la Vega del Alberche;Total (tamaño del hogar);81
Total Nacional;05215 San Martín de la Vega del Alberche;1 persona;33
Total Nacional;05215 San Martín de la Vega del Alberche;2 personas;26
Total Nacional;05215 San Martín de la Vega del Alberche;3 personas;12
Total Nacional;05215 San Martín de la Vega del Alberche;4 personas;7
Total Nacional;05215 San Martín de la Vega del Alberche;5 o más personas;3
Total Nacional;05216 San Martín del Pimpollar;Total (tamaño del hogar);85
Total Nacional;05216 San Martín del Pimpollar;1 persona;29
Total Nacional;05216 San Martín del Pimpollar;2 personas;25
Total Nacional;05216 San Martín del Pimpollar;3 personas;18
Total Nacional;05216 San Martín del Pimpollar;4 personas;10
Total Nacional;05216 San Martín del Pimpollar;5 o más personas;3
Total Nacional;05217 San Miguel de Corneja;Total (tamaño del hogar);32
Total Nacional;05217 San Miguel de Corneja;1 persona;18
Total Nacional;05217 San Miguel de Corneja;2 personas;9
Total Nacional;05217 San Miguel de Corneja;3 personas;2
Total Nacional;05217 San Miguel de Corneja;4 personas;3
Total Nacional;05217 San Miguel de Corneja;5 o más personas;0
Total Nacional;05218 San Miguel de Serrezuela;Total (tamaño del hogar);56
Total Nacional;05218 San Miguel de Serrezuela;1 persona;31
Total Nacional;05218 San Miguel de Serrezuela;2 personas;11
Total Nacional;05218 San Miguel de Serrezuela;3 personas;4
Total Nacional;05218 San Miguel de Serrezuela;4 personas;8
Total Nacional;05218 San Miguel de Serrezuela;5 o más personas;2
Total Nacional;05219 San Pascual;Total (tamaño del hogar);18
Total Nacional;05219 San Pascual;1 persona;7
Total Nacional;05219 San Pascual;2 personas;6
Total Nacional;05219 San Pascual;3 personas;2
Total Nacional;05219 San Pascual;4 personas;2
Total Nacional;05219 San Pascual;5 o más personas;1
Total Nacional;05220 San Pedro del Arroyo;Total (tamaño del hogar);192
Total Nacional;05220 San Pedro del Arroyo;1 persona;77
Total Nacional;05220 San Pedro del Arroyo;2 personas;44
Total Nacional;05220 San Pedro del Arroyo;3 personas;38
Total Nacional;05220 San Pedro del Arroyo;4 personas;24
Total Nacional;05220 San Pedro del Arroyo;5 o más personas;9
Total Nacional;05221 Santa Cruz del Valle;Total (tamaño del hogar);168
Total Nacional;05221 Santa Cruz del Valle;1 persona;75
Total Nacional;05221 Santa Cruz del Valle;2 personas;52
Total Nacional;05221 Santa Cruz del Valle;3 personas;21
Total Nacional;05221 Santa Cruz del Valle;4 personas;17
Total Nacional;05221 Santa Cruz del Valle;5 o más personas;3
Total Nacional;05222 Santa Cruz de Pinares;Total (tamaño del hogar);78
Total Nacional;05222 Santa Cruz de Pinares;1 persona;35
Total Nacional;05222 Santa Cruz de Pinares;2 personas;27
Total Nacional;05222 Santa Cruz de Pinares;3 personas;9
Total Nacional;05222 Santa Cruz de Pinares;4 personas;7
Total Nacional;05222 Santa Cruz de Pinares;5 o más personas;0
Total Nacional;05224 Santa María del Arroyo;Total (tamaño del hogar);47
Total Nacional;05224 Santa María del Arroyo;1 persona;17
Total Nacional;05224 Santa María del Arroyo;2 personas;14
Total Nacional;05224 Santa María del Arroyo;3 personas;8
Total Nacional;05224 Santa María del Arroyo;4 personas;4
Total Nacional;05224 Santa María del Arroyo;5 o más personas;4
Total Nacional;05225 Santa María del Berrocal;Total (tamaño del hogar);183
Total Nacional;05225 Santa María del Berrocal;1 persona;77
Total Nacional;05225 Santa María del Berrocal;2 personas;50
Total Nacional;05225 Santa María del Berrocal;3 personas;36
Total Nacional;05225 Santa María del Berrocal;4 personas;16
Total Nacional;05225 Santa María del Berrocal;5 o más personas;4
Total Nacional;05226 Santa María de los Caballeros;Total (tamaño del hogar);33
Total Nacional;05226 Santa María de los Caballeros;1 persona;18
Total Nacional;05226 Santa María de los Caballeros;2 personas;6
Total Nacional;05226 Santa María de los Caballeros;3 personas;5
Total Nacional;05226 Santa María de los Caballeros;4 personas;1
Total Nacional;05226 Santa María de los Caballeros;5 o más personas;3
Total Nacional;05227 Santa María del Tiétar;Total (tamaño del hogar);242
Total Nacional;05227 Santa María del Tiétar;1 persona;123
Total Nacional;05227 Santa María del Tiétar;2 personas;53
Total Nacional;05227 Santa María del Tiétar;3 personas;32
Total Nacional;05227 Santa María del Tiétar;4 personas;22
Total Nacional;05227 Santa María del Tiétar;5 o más personas;12
Total Nacional;05228 Santiago del Collado;Total (tamaño del hogar);82
Total Nacional;05228 Santiago del Collado;1 persona;34
Total Nacional;05228 Santiago del Collado;2 personas;19
Total Nacional;05228 Santiago del Collado;3 personas;18
Total Nacional;05228 Santiago del Collado;4 personas;10
Total Nacional;05228 Santiago del Collado;5 o más personas;1
Total Nacional;05229 Santo Domingo de las Posadas;Total (tamaño del hogar);38
Total Nacional;05229 Santo Domingo de las Posadas;1 persona;19
Total Nacional;05229 Santo Domingo de las Posadas;2 personas;10
Total Nacional;05229 Santo Domingo de las Posadas;3 personas;3
Total Nacional;05229 Santo Domingo de las Posadas;4 personas;4
Total Nacional;05229 Santo Domingo de las Posadas;5 o más personas;2
Total Nacional;05230 Santo Tomé de Zabarcos;Total (tamaño del hogar);36
Total Nacional;05230 Santo Tomé de Zabarcos;1 persona;17
Total Nacional;05230 Santo Tomé de Zabarcos;2 personas;7
Total Nacional;05230 Santo Tomé de Zabarcos;3 personas;7
Total Nacional;05230 Santo Tomé de Zabarcos;4 personas;2
Total Nacional;05230 Santo Tomé de Zabarcos;5 o más personas;3
Total Nacional;05231 San Vicente de Arévalo;Total (tamaño del hogar);82
Total Nacional;05231 San Vicente de Arévalo;1 persona;30
Total Nacional;05231 San Vicente de Arévalo;2 personas;26
Total Nacional;05231 San Vicente de Arévalo;3 personas;17
Total Nacional;05231 San Vicente de Arévalo;4 personas;7
Total Nacional;05231 San Vicente de Arévalo;5 o más personas;2
Total Nacional;05232 Serrada, La;Total (tamaño del hogar);67
Total Nacional;05232 Serrada, La;1 persona;36
Total Nacional;05232 Serrada, La;2 personas;12
Total Nacional;05232 Serrada, La;3 personas;9
Total Nacional;05232 Serrada, La;4 personas;7
Total Nacional;05232 Serrada, La;5 o más personas;3
Total Nacional;05233 Serranillos;Total (tamaño del hogar);117
Total Nacional;05233 Serranillos;1 persona;52
Total Nacional;05233 Serranillos;2 personas;30
Total Nacional;05233 Serranillos;3 personas;16
Total Nacional;05233 Serranillos;4 personas;13
Total Nacional;05233 Serranillos;5 o más personas;6
Total Nacional;05234 Sigeres;Total (tamaño del hogar);23
Total Nacional;05234 Sigeres;1 persona;8
Total Nacional;05234 Sigeres;2 personas;8
Total Nacional;05234 Sigeres;3 personas;7
Total Nacional;05234 Sigeres;4 personas;0
Total Nacional;05234 Sigeres;5 o más personas;0
Total Nacional;05235 Sinlabajos;Total (tamaño del hogar);52
Total Nacional;05235 Sinlabajos;1 persona;25
Total Nacional;05235 Sinlabajos;2 personas;11
Total Nacional;05235 Sinlabajos;3 personas;9
Total Nacional;05235 Sinlabajos;4 personas;2
Total Nacional;05235 Sinlabajos;5 o más personas;5
Total Nacional;05236 Solana de Ávila;Total (tamaño del hogar);64
Total Nacional;05236 Solana de Ávila;1 persona;34
Total Nacional;05236 Solana de Ávila;2 personas;15
Total Nacional;05236 Solana de Ávila;3 personas;12
Total Nacional;05236 Solana de Ávila;4 personas;2
Total Nacional;05236 Solana de Ávila;5 o más personas;1
Total Nacional;05237 Solana de Rioalmar;Total (tamaño del hogar);69
Total Nacional;05237 Solana de Rioalmar;1 persona;31
Total Nacional;05237 Solana de Rioalmar;2 personas;15
Total Nacional;05237 Solana de Rioalmar;3 personas;14
Total Nacional;05237 Solana de Rioalmar;4 personas;4
Total Nacional;05237 Solana de Rioalmar;5 o más personas;5
Total Nacional;05238 Solosancho;Total (tamaño del hogar);368
Total Nacional;05238 Solosancho;1 persona;151
Total Nacional;05238 Solosancho;2 personas;83
Total Nacional;05238 Solosancho;3 personas;60
Total Nacional;05238 Solosancho;4 personas;55
Total Nacional;05238 Solosancho;5 o más personas;19
Total Nacional;05239 Sotalbo;Total (tamaño del hogar);114
Total Nacional;05239 Sotalbo;1 persona;57
Total Nacional;05239 Sotalbo;2 personas;21
Total Nacional;05239 Sotalbo;3 personas;17
Total Nacional;05239 Sotalbo;4 personas;14
Total Nacional;05239 Sotalbo;5 o más personas;5
Total Nacional;05240 Sotillo de la Adrada;Total (tamaño del hogar);1.925
Total Nacional;05240 Sotillo de la Adrada;1 persona;628
Total Nacional;05240 Sotillo de la Adrada;2 personas;531
Total Nacional;05240 Sotillo de la Adrada;3 personas;352
Total Nacional;05240 Sotillo de la Adrada;4 personas;291
Total Nacional;05240 Sotillo de la Adrada;5 o más personas;123
Total Nacional;05241 Tiemblo, El;Total (tamaño del hogar);1.876
Total Nacional;05241 Tiemblo, El;1 persona;640
Total Nacional;05241 Tiemblo, El;2 personas;531
Total Nacional;05241 Tiemblo, El;3 personas;333
Total Nacional;05241 Tiemblo, El;4 personas;240
Total Nacional;05241 Tiemblo, El;5 o más personas;132
Total Nacional;05242 Tiñosillos;Total (tamaño del hogar);276
Total Nacional;05242 Tiñosillos;1 persona;56
Total Nacional;05242 Tiñosillos;2 personas;76
Total Nacional;05242 Tiñosillos;3 personas;70
Total Nacional;05242 Tiñosillos;4 personas;40
Total Nacional;05242 Tiñosillos;5 o más personas;34
Total Nacional;05243 Tolbaños;Total (tamaño del hogar);58
Total Nacional;05243 Tolbaños;1 persona;40
Total Nacional;05243 Tolbaños;2 personas;13
Total Nacional;05243 Tolbaños;3 personas;2
Total Nacional;05243 Tolbaños;4 personas;2
Total Nacional;05243 Tolbaños;5 o más personas;1
Total Nacional;05244 Tormellas;Total (tamaño del hogar);23
Total Nacional;05244 Tormellas;1 persona;12
Total Nacional;05244 Tormellas;2 personas;8
Total Nacional;05244 Tormellas;3 personas;3
Total Nacional;05244 Tormellas;4 personas;0
Total Nacional;05244 Tormellas;5 o más personas;0
Total Nacional;05245 Tornadizos de Ávila;Total (tamaño del hogar);183
Total Nacional;05245 Tornadizos de Ávila;1 persona;67
Total Nacional;05245 Tornadizos de Ávila;2 personas;39
Total Nacional;05245 Tornadizos de Ávila;3 personas;42
Total Nacional;05245 Tornadizos de Ávila;4 personas;26
Total Nacional;05245 Tornadizos de Ávila;5 o más personas;9
Total Nacional;05246 Tórtoles;Total (tamaño del hogar);29
Total Nacional;05246 Tórtoles;1 persona;17
Total Nacional;05246 Tórtoles;2 personas;6
Total Nacional;05246 Tórtoles;3 personas;6
Total Nacional;05246 Tórtoles;4 personas;0
Total Nacional;05246 Tórtoles;5 o más personas;0
Total Nacional;05247 Torre, La;Total (tamaño del hogar);110
Total Nacional;05247 Torre, La;1 persona;53
Total Nacional;05247 Torre, La;2 personas;23
Total Nacional;05247 Torre, La;3 personas;20
Total Nacional;05247 Torre, La;4 personas;11
Total Nacional;05247 Torre, La;5 o más personas;3
Total Nacional;05249 Umbrías;Total (tamaño del hogar);60
Total Nacional;05249 Umbrías;1 persona;30
Total Nacional;05249 Umbrías;2 personas;20
Total Nacional;05249 Umbrías;3 personas;6
Total Nacional;05249 Umbrías;4 personas;2
Total Nacional;05249 Umbrías;5 o más personas;2
Total Nacional;05251 Vadillo de la Sierra;Total (tamaño del hogar);36
